percentage,species
0.119047619,Adineta vaga
0.131313131,Adineta vaga
0.104545455,Adineta vaga
0.130841121,Adineta vaga
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0,Daphnia magna
0.019607843,Daphnia magna
0.018867925,Daphnia magna
0.01754386,Daphnia magna
0.025,Daphnia magna
0.03125,Daphnia magna
0.025641026,Daphnia magna
0.025,Daphnia magna
0.025641026,Daphnia magna
0.03030303,Daphnia magna
0.1796875,Lecane inermis
0.022222222,Lecane inermis
0.135,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0.143884892,Lecane inermis
0.714285714,Lecane inermis
0.139072848,Lecane inermis
0.129032258,Lecane inermis
0.130434783,Lecane inermis
0.147208122,Lecane inermis
0.147826087,Lecane inermis
0.151111111,Lecane inermis
0.196202532,Lecane inermis
0.154639175,Lecane inermis
0.184782609,Lecane inermis
0.138075314,Lecane inermis
0.06,Lecane inermis
0.119230769,Lecane inermis
0,Lecane inermis
0.007518797,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0.033333333,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0,Lecane inermis
0.024390244,Lecane inermis
0.032258065,Lecane inermis
0,Lecane inermis
0.043478261,Lecane inermis
0.03030303,Lecane inermis
0,Rotaria macrura
0.020408163,Rotaria macrura
0.04,Rotaria macrura
0.016393443,Rotaria macrura
0.166666667,Rotaria macrura
0.044025157,Rotaria macrura
0.027027027,Rotaria macrura
0.016,Rotaria macrura
0,Rotaria macrura
0.045454545,Rotaria macrura
